sample_id,Al_pct,Mg_pct,Si_pct,Cu_pct,Zn_pct,Fe_pct,aging_temp_C,aging_time_hr,cooling_rate_Cps,grain_size_um,tensile_strength_MPa,elongation_pct,hardness_HV
77,95.87,2.58,0.91,0.21,2.56,0.08,147.7,17.3,33.04,72.1,355.8,18.99,116.3
78,97.13,1.97,0.99,0.47,0.66,0.44,190.4,4.22,22.57,69.1,311.0,20.87,109.6
79,94.89,2.09,1.08,1.37,4.61,0.542,132.7,15.29,40.74,63.1,386.7,19.04,115.9
80,98.65,2.22,1.33,0.35,3.88,0.278,144.5,12.46,27.07,,373.3,21.25,117.3
81,98.32,1.92,0.65,0.0,2.55,0.513,174.2,23.56,34.41,7.1,395.2,17.44,140.7
82,97.61,0.28,1.03,0.61,1.9,0.514,209.7,19.8,1.73,75.9,265.5,20.1,88.1
83,98.82,2.84,0.71,1.43,1.67,0.446,185.1,17.81,29.96,35.5,398.1,16.66,117.6
84,95.47,1.43,0.78,1.04,0.94,0.259,193.1,19.71,31.39,10.7,352.1,20.05,111.2
85,95.25,2.8,0.13,1.61,1.41,0.066,125.6,12.91,22.26,37.9,365.4,18.59,119.2
86,94.92,0.82,1.45,0.17,4.67,0.464,181.2,3.06,43.15,48.3,307.9,21.67,85.2
87,96.0,1.59,0.6,0.1,2.35,0.493,165.3,2.0,48.8,8.3,361.6,18.99,113.5
88,97.69,1.97,1.09,1.42,2.21,0.381,121.4,23.0,7.82,14.8,383.5,17.31,121.2
89,96.92,0.27,0.85,0.03,2.34,0.255,161.4,9.09,29.87,39.4,276.0,19.18,84.4
90,97.17,2.08,1.35,0.67,1.45,0.103,178.1,10.36,11.48,16.9,382.3,20.96,127.2
91,94.88,2.19,1.37,0.31,0.54,0.296,130.3,21.28,29.21,60.3,310.8,19.41,93.7
92,98.85,2.66,1.43,1.35,0.65,0.503,176.1,4.95,40.56,11.7,407.2,18.29,127.8
93,98.01,1.54,0.16,0.32,0.74,0.234,158.6,13.44,11.75,61.5,284.8,21.18,88.1
94,94.99,2.61,1.45,0.1,0.66,0.218,216.4,8.2,35.21,51.7,367.8,18.91,114.0
95,94.5,1.84,0.21,1.95,2.13,0.415,156.7,7.6,4.26,68.2,331.0,20.87,111.6
96,94.09,2.03,1.08,0.23,4.15,0.091,178.9,6.55,9.89,51.8,362.7,17.89,115.8
97,97.72,1.27,0.8,1.05,1.4,0.207,166.8,10.11,43.52,37.4,316.1,19.13,104.1
98,94.2,0.54,1.2,1.09,1.88,0.46,190.1,23.61,6.32,17.2,356.2,18.83,111.4
99,98.67,1.46,1.3,1.9,4.35,0.457,195.7,13.02,14.19,31.4,396.3,16.98,129.7
100,94.32,0.23,0.31,0.47,0.9,0.192,182.3,22.51,41.17,50.0,271.9,16.35,88.6
101,97.77,2.7,0.37,0.32,1.41,0.521,148.1,12.49,11.64,75.6,329.8,17.25,97.7
102,96.54,1.76,1.03,0.19,0.44,0.302,199.0,21.6,18.32,12.5,820.25,20.79,103.5
103,98.88,1.32,1.23,0.97,0.53,0.294,214.6,13.1,20.18,12.8,338.2,19.88,112.5
104,95.58,0.87,1.4,1.62,3.15,0.415,135.3,17.74,14.01,17.9,355.8,21.75,111.3
105,94.23,0.38,0.78,1.23,4.59,0.516,192.0,23.05,32.44,66.1,322.1,21.71,104.6
106,96.67,1.38,0.19,1.25,3.68,0.365,203.2,15.31,19.47,66.6,349.1,21.57,113.6
107,98.48,1.65,1.47,0.54,1.89,0.539,187.0,20.51,43.42,73.7,342.2,18.43,116.6
108,98.6,2.91,0.57,1.64,1.93,0.451,171.6,3.63,39.42,27.9,398.0,19.26,129.9
109,96.66,2.29,0.24,1.82,0.32,0.339,207.7,20.33,24.21,,367.4,17.72,116.7
110,96.77,1.71,0.91,1.04,2.85,0.527,190.4,13.91,31.01,37.8,364.2,20.84,114.5
111,94.1,1.5,1.3,1.11,4.57,0.227,141.4,17.87,38.7,42.7,383.8,19.86,120.4
112,94.4,1.62,0.54,0.3,0.3,0.185,214.0,11.3,48.98,79.9,297.8,21.24,90.7
113,96.88,1.57,0.11,1.65,2.82,0.355,139.3,2.77,8.97,36.2,318.6,21.33,97.1
114,96.33,1.31,0.27,1.83,3.84,0.527,162.1,8.94,44.67,72.9,371.6,14.97,113.4
115,96.76,0.23,1.1,1.42,1.44,0.372,132.8,2.12,14.73,25.5,283.3,22.97,77.0
116,94.78,0.88,1.29,1.34,3.79,0.406,198.7,21.43,2.45,61.5,308.7,20.85,113.9
117,97.86,2.15,0.42,0.47,1.91,0.572,152.1,6.84,23.31,9.9,376.7,18.62,121.3
118,98.33,1.45,0.41,0.57,4.78,0.09,160.7,7.31,25.18,32.9,360.2,17.23,115.4
119,95.73,2.95,0.6,0.19,1.71,0.167,142.8,21.59,42.09,41.4,383.3,16.58,123.9
120,94.77,2.34,0.53,0.37,1.56,0.504,185.5,21.89,44.43,40.5,358.0,18.23,113.1
121,97.36,0.23,1.1,1.66,0.81,0.198,150.1,22.44,20.48,70.4,300.4,21.76,95.2
122,95.29,2.55,1.46,0.61,1.19,0.363,171.8,9.32,36.65,20.0,388.8,17.4,133.7
123,95.4,1.56,0.67,1.21,0.25,0.261,151.2,17.36,21.42,30.7,297.3,20.29,98.0
124,96.46,2.82,0.81,0.03,2.4,0.155,195.3,4.74,24.38,76.4,381.3,17.65,128.3
125,94.65,1.98,1.03,1.27,0.75,0.571,215.7,10.77,5.75,28.8,346.9,19.56,120.5
126,94.05,2.5,1.1,1.62,3.46,0.47,122.2,23.97,21.06,17.3,427.7,21.09,133.1
127,97.1,0.6,0.91,0.6,2.49,0.147,191.6,10.73,7.4,7.8,352.9,19.02,122.1
128,96.23,1.27,0.91,0.54,0.82,0.392,126.6,2.5,24.22,34.6,260.9,21.03,94.0
129,97.05,1.17,0.21,1.33,3.12,0.332,165.5,19.67,39.83,9.4,399.0,18.09,127.1
130,97.18,2.82,1.17,1.36,2.42,0.447,163.0,8.81,11.54,49.2,385.2,16.68,105.3
131,94.37,0.43,0.8,0.86,0.83,0.334,194.9,4.09,10.93,26.1,281.0,19.92,87.7
132,98.34,2.45,0.87,1.72,0.52,0.564,149.0,6.61,27.18,14.1,376.8,17.95,124.8
133,95.41,1.73,0.39,0.85,4.57,0.539,190.5,9.46,32.08,7.3,416.0,18.46,136.4
134,96.71,2.15,0.68,1.27,0.31,0.288,216.1,3.91,40.39,47.0,331.3,20.71,112.0
135,94.58,0.96,1.44,0.45,0.08,0.33,170.0,11.99,1.15,55.9,276.9,21.37,100.1
136,96.83,2.09,0.37,0.28,1.34,0.413,163.6,19.41,46.5,5.8,411.3,17.25,140.2
137,95.59,0.47,0.71,1.81,4.08,0.072,136.9,4.78,10.13,46.6,312.7,18.06,99.5
138,97.81,1.17,1.03,0.54,2.1,0.568,180.3,11.04,49.26,50.7,330.3,19.1,110.3
139,96.7,0.37,1.11,0.52,1.69,0.42,214.9,20.62,36.2,25.6,305.6,22.73,89.1
140,97.98,1.42,0.82,0.46,2.15,0.157,164.7,5.16,28.19,66.4,323.8,22.68,105.5
141,94.05,2.44,0.33,0.82,2.17,0.223,182.5,18.89,32.55,22.1,415.9,18.83,137.4
142,97.0,1.14,0.4,1.87,1.22,0.464,173.4,4.47,22.33,45.0,326.1,18.19,103.0
143,95.99,0.35,0.13,1.46,3.8,0.581,161.1,7.86,17.04,8.7,361.9,21.09,117.9
144,94.11,0.52,0.17,0.34,2.53,0.318,199.8,9.01,34.29,78.0,301.7,21.4,96.0
145,97.06,0.58,0.56,0.09,4.86,0.224,151.5,19.82,27.72,27.1,331.8,20.59,115.8
146,96.96,2.98,1.29,1.03,2.59,0.334,159.6,15.72,48.65,73.6,418.8,17.25,136.9
147,95.49,0.55,0.48,0.44,0.34,0.249,188.6,19.72,22.27,8.9,317.0,21.44,109.0
148,95.84,0.62,1.37,0.66,3.6,0.252,161.6,20.67,10.72,41.3,349.4,16.34,114.5
149,94.89,1.33,0.38,0.9,1.82,0.458,193.1,18.11,15.38,55.0,311.2,19.11,97.2
150,97.03,0.7,0.94,0.83,0.34,0.241,120.9,19.05,33.78,52.0,258.8,21.3,81.9
151,96.59,2.04,1.05,0.51,1.64,0.586,156.8,12.96,40.49,66.0,336.1,19.57,111.9
152,96.89,1.11,0.57,1.77,0.97,0.164,160.4,9.41,3.69,58.9,310.8,21.26,99.2
153,97.17,2.05,0.87,0.27,3.24,0.418,214.5,2.25,32.36,26.2,344.9,17.41,112.2
154,94.13,1.91,0.76,1.85,0.92,0.347,138.9,7.07,37.35,75.7,303.7,20.32,105.0
155,97.31,1.95,0.52,0.31,1.96,0.467,124.7,17.16,33.94,69.1,320.7,23.21,104.3
156,94.57,1.3,1.34,0.65,1.21,0.166,137.5,18.91,20.25,49.4,297.7,20.18,94.8
157,98.34,2.66,1.1,0.31,2.43,0.086,207.1,12.95,13.9,32.6,373.7,18.71,125.0
158,96.55,1.59,1.5,1.19,4.6,0.207,177.3,15.97,7.16,70.5,368.5,16.34,116.2
159,95.19,0.98,0.21,0.86,0.93,0.125,139.7,18.98,10.67,46.8,284.7,19.81,87.4
160,97.78,0.51,0.48,1.92,4.27,0.465,209.2,15.4,45.17,61.3,370.7,20.23,128.2
161,95.39,2.27,1.22,0.39,4.83,0.378,132.3,13.56,9.43,38.9,366.5,19.86,114.1
162,94.74,2.13,1.27,1.17,2.88,0.556,154.1,9.23,38.37,60.8,348.6,18.89,110.1
163,94.51,2.96,1.01,1.32,1.33,0.541,151.6,13.1,41.33,55.4,386.3,19.7,126.5
164,97.44,1.24,0.74,1.75,2.83,0.376,217.6,5.97,11.78,25.7,345.7,22.17,114.8
165,98.37,0.43,0.97,1.28,0.25,0.106,143.0,7.58,45.41,36.2,272.5,21.61,85.5
166,97.11,2.87,1.13,1.06,3.91,0.535,152.4,3.75,12.88,37.5,413.9,13.5,128.8
167,98.09,0.71,0.39,0.12,2.33,0.33,141.5,11.77,41.23,67.6,266.5,21.92,87.4
168,97.7,0.33,0.51,0.71,0.18,0.325,158.4,14.29,1.25,11.8,270.2,20.45,89.4
169,97.34,2.33,0.92,0.12,3.64,0.22,208.8,18.61,41.62,48.3,384.6,16.92,113.9
170,95.99,1.67,0.86,1.59,2.97,0.261,217.6,14.43,7.75,74.6,355.4,21.06,113.6
171,96.16,2.77,1.02,0.32,3.52,0.182,169.6,14.66,46.83,78.9,402.5,17.57,128.8
172,97.54,1.98,1.23,0.68,0.73,0.473,203.0,4.54,21.9,79.5,300.8,19.71,86.6
173,98.02,0.58,0.44,1.86,4.71,0.396,187.5,12.38,28.35,79.3,369.6,19.41,113.7
174,95.55,1.07,0.1,1.1,3.81,0.311,184.5,19.17,49.09,46.1,364.7,17.32,122.3
175,94.2,0.54,1.2,1.09,1.88,0.46,190.1,23.61,6.32,17.2,356.2,18.83,111.4
176,98.54,2.19,0.38,1.89,4.63,0.12,124.1,5.37,17.96,50.7,363.0,18.71,124.5
177,97.81,1.38,0.52,0.68,3.17,0.448,214.6,15.06,49.59,57.7,356.9,19.84,111.7
178,97.99,2.1,0.22,0.38,1.69,0.465,201.1,5.2,43.98,30.1,341.3,22.06,118.5
179,97.23,2.56,0.21,0.71,4.88,0.124,133.6,6.84,43.8,72.9,374.8,18.44,115.2
180,97.26,0.96,0.45,0.45,2.68,0.271,145.4,23.85,13.34,77.0,294.6,20.56,98.3
181,94.26,0.21,1.15,1.88,0.26,0.46,142.1,19.42,41.21,71.3,261.4,23.52,87.3
182,97.73,2.57,0.5,1.01,2.06,0.148,149.6,8.93,20.74,35.0,359.4,18.19,122.0
183,97.49,2.17,1.17,1.71,4.21,0.353,207.1,22.34,18.52,74.2,411.0,15.74,132.9
184,94.49,1.52,0.58,0.08,2.07,0.531,206.9,2.49,1.91,71.7,285.5,20.11,87.1
185,97.09,2.23,0.3,1.72,0.22,0.199,139.7,16.2,8.55,67.4,331.7,17.58,101.2
186,96.6,1.7,1.26,0.24,3.67,0.234,135.8,8.04,44.55,34.5,342.8,18.43,108.5
187,95.21,1.47,1.1,1.96,3.85,0.13,162.4,16.76,1.98,55.9,384.1,16.71,122.3
188,95.69,0.54,1.27,1.46,0.53,0.359,133.8,19.78,28.72,29.7,277.9,21.21,91.1
189,98.02,1.67,0.13,0.68,1.64,0.412,123.9,23.03,11.54,13.0,357.6,20.25,116.7
190,97.57,0.57,0.38,1.05,0.28,0.477,127.8,4.97,22.49,11.9,268.3,20.7,88.6
191,96.2,1.49,0.13,0.27,2.89,0.093,137.0,15.93,45.66,64.6,331.0,22.02,106.5
192,95.93,1.39,1.44,1.57,4.92,0.37,209.4,19.69,28.71,45.0,407.9,16.68,130.1
193,98.92,1.77,0.34,0.49,3.28,0.285,217.1,11.71,47.7,28.0,364.7,19.72,114.5
194,94.06,1.27,1.35,0.65,0.96,0.412,197.0,22.18,46.88,16.2,333.3,20.65,94.8
195,98.19,0.38,1.04,0.01,3.35,0.079,164.8,22.72,39.47,22.9,325.8,17.59,102.3
196,94.6,1.31,0.5,1.65,1.58,0.28,192.2,19.83,48.39,69.2,356.9,17.84,118.9
197,98.28,2.9,1.33,1.39,0.78,0.545,164.3,14.07,1.44,47.8,360.2,20.37,113.6
198,94.41,1.89,0.56,1.45,1.24,0.419,200.3,9.99,38.07,10.8,374.2,16.94,124.6
199,94.6,2.84,1.13,0.82,0.36,0.197,202.1,12.03,14.07,,370.7,17.53,124.1
200,97.72,1.56,0.69,0.5,3.86,0.435,165.3,13.75,12.12,19.7,372.1,19.75,111.2
201,97.61,1.4,1.33,1.68,4.91,0.299,195.7,19.55,26.14,73.8,392.0,19.04,116.8
202,97.95,0.37,0.42,0.48,2.37,0.306,176.6,23.84,2.4,35.1,315.4,20.22,93.8
203,96.95,0.87,1.4,0.23,2.14,0.128,210.1,8.04,9.84,19.6,312.0,20.1,103.0
204,98.47,2.91,1.17,1.78,3.98,0.166,131.8,15.56,43.8,42.0,430.2,16.36,136.8
205,95.8,0.4,0.75,0.86,0.59,0.226,176.9,2.27,36.23,29.9,273.6,22.98,91.7
206,97.28,2.51,0.33,0.44,1.23,0.276,126.5,3.64,34.99,27.2,322.2,17.8,107.8
207,94.55,0.27,1.02,0.4,4.88,0.112,218.3,7.96,18.89,25.7,307.9,19.95,94.2
208,97.42,1.43,0.83,0.59,2.16,0.097,124.9,15.35,35.45,6.7,370.9,18.12,115.7
209,97.29,1.46,0.78,0.72,0.83,0.155,178.5,13.91,3.45,51.3,322.5,18.51,105.6
210,96.12,0.94,0.37,1.65,3.49,0.287,127.3,2.64,45.28,72.3,323.9,20.92,98.6
211,94.18,1.23,0.13,1.87,2.52,0.363,187.9,14.88,34.0,34.4,354.2,18.55,113.8
212,94.41,2.8,0.62,1.16,1.84,0.341,122.4,3.08,5.89,26.0,359.6,19.5,107.3
213,98.75,1.08,0.14,1.99,3.97,0.439,122.6,14.2,4.18,38.8,334.9,21.88,107.7
214,96.49,1.9,0.65,0.15,0.92,0.547,199.4,18.16,45.49,29.0,338.9,15.95,93.7
215,98.53,0.47,0.44,0.08,0.65,0.14,125.5,4.8,6.37,20.7,252.2,23.66,81.5
216,94.42,1.71,0.65,1.73,4.9,0.198,165.0,14.62,46.18,22.3,419.3,17.43,140.9
217,98.42,1.64,1.5,1.33,0.65,0.577,190.9,14.25,9.12,56.1,343.6,18.51,116.1
218,96.09,1.18,0.43,0.56,0.29,0.136,129.9,10.08,18.8,33.6,271.6,19.56,86.1
219,95.26,1.5,1.17,1.63,2.17,0.249,159.6,16.83,2.62,54.6,361.7,19.62,110.1
220,98.14,1.04,0.92,1.02,2.67,0.134,172.5,20.23,26.71,8.2,384.6,17.96,110.3
221,95.16,2.41,0.48,1.18,3.13,0.312,158.1,18.15,45.35,38.8,399.8,18.18,128.1
222,95.12,0.36,1.14,1.23,3.18,0.243,202.5,4.33,39.09,24.0,342.9,21.64,110.7
223,97.74,1.27,1.2,0.5,1.6,0.449,176.7,16.5,5.47,44.8,303.6,19.66,90.9
224,95.94,0.95,1.49,1.02,3.13,0.272,145.6,23.17,28.45,76.2,346.3,17.2,110.0
225,97.44,2.64,0.44,0.79,1.35,0.286,144.1,22.07,4.68,70.3,363.4,18.6,118.7
226,94.8,1.82,0.74,1.08,2.42,0.441,171.7,10.34,39.97,46.1,361.6,20.29,105.3
227,98.46,1.09,0.59,0.57,1.33,0.079,180.4,5.06,22.15,52.7,266.8,18.31,80.4
228,98.93,2.56,1.16,0.58,2.1,0.062,153.3,20.78,7.9,70.6,359.8,19.25,124.8
229,94.6,2.59,0.72,1.72,2.16,0.373,179.0,8.39,19.05,74.0,379.8,19.27,120.2
230,95.87,2.32,0.58,0.28,0.62,0.407,156.9,12.98,1.94,31.3,316.7,19.5,108.8
231,95.71,2.6,1.27,0.37,0.08,0.275,137.1,14.05,25.62,5.3,371.7,16.3,126.3
232,94.14,1.57,1.31,1.7,4.89,0.079,208.2,20.73,12.36,74.2,415.9,20.12,121.9
233,98.39,0.92,0.73,1.65,4.2,0.584,176.1,6.87,46.96,31.8,349.9,18.9,107.7
234,94.26,2.0,0.36,0.42,0.73,0.505,193.1,11.01,45.19,45.9,311.5,22.92,93.1
235,97.88,0.37,0.39,0.81,0.92,0.09,183.2,11.98,25.75,69.4,265.4,20.36,84.2
236,96.77,1.33,0.39,0.55,1.66,0.114,216.5,9.33,22.67,50.3,316.7,21.55,100.9
237,95.4,0.48,0.74,0.53,2.43,0.248,192.9,10.55,31.09,52.6,319.0,20.4,100.1
238,96.63,1.68,0.37,0.61,2.69,0.121,157.4,17.76,3.65,40.6,337.9,21.18,113.8
239,95.95,2.56,0.47,0.1,0.87,0.403,168.1,6.27,12.32,23.7,332.4,19.74,102.7
240,94.13,2.66,1.27,1.34,4.79,0.521,203.3,17.83,35.98,7.8,491.5,16.15,162.2
241,96.49,2.01,0.47,1.94,0.63,0.522,121.4,13.37,1.98,69.6,313.1,20.23,94.1
242,97.85,2.23,0.92,0.69,3.05,0.349,151.7,6.97,31.34,62.1,354.9,19.01,108.4
243,97.66,0.32,0.56,0.74,4.08,0.472,157.7,8.62,45.65,79.5,302.0,19.41,85.8
244,98.69,1.83,0.56,0.75,0.07,0.557,169.2,19.69,5.17,49.2,295.9,21.12,90.9
245,94.7,0.62,0.13,0.44,1.44,0.519,144.5,7.58,4.5,9.1,290.8,19.35,87.9
246,94.14,2.96,0.57,1.19,3.56,0.473,157.0,2.52,24.88,,379.7,16.68,111.0
247,98.15,2.68,1.13,1.44,4.04,0.099,188.1,15.26,24.42,33.2,423.4,15.48,125.4
248,95.61,2.88,1.11,0.95,2.52,0.561,133.0,5.18,45.49,71.3,373.2,17.65,112.7
249,95.07,2.6,1.03,1.52,3.6,0.277,149.8,21.22,18.36,21.6,430.8,14.49,140.7
250,94.7,1.3,0.65,1.68,1.78,0.318,139.1,11.61,3.33,7.9,361.9,21.19,119.3
251,97.29,2.77,1.23,1.79,0.44,0.257,145.5,10.96,11.18,13.6,422.4,19.08,136.5
252,97.84,1.65,0.8,1.67,0.72,0.491,145.2,10.36,22.17,,328.7,21.47,109.1
253,98.75,1.93,0.53,1.78,4.44,0.52,173.7,14.18,16.66,58.1,384.5,20.37,132.3
254,96.95,1.77,0.56,0.62,4.58,0.096,140.7,17.99,13.45,18.7,386.6,19.41,123.9
255,98.63,1.43,0.12,1.62,1.71,0.199,200.3,17.85,21.94,40.0,347.7,19.32,109.6
